display_name,primary_type,county,region,website
Kinchley's Tavern,pizza_restaurant,Bergen County,North Jersey,https://www.kinchleyspizza.com/
Mama Rosa Pizza and Pasta,pizza_restaurant,Bergen County,North Jersey,https://www.mamarosapasta.com/
Aquila Pizza Al Forno,pizza_restaurant,Passaic County,North Jersey,http://aquilaforno.com/
Novino Ristorante,italian_restaurant,Bergen County,North Jersey,http://www.novinonj.com/
The Pizza Terminal & Restaurant NJ,pizza_restaurant,Essex County,North Jersey,https://www.thepizzaterminalnj.com/
Boardwalk Pizza,pizza_restaurant,Essex County,North Jersey,https://www.boardwalkpizzanj.com/
Algieri's Pizza,pizza_restaurant,Essex County,North Jersey,https://www.algierispizzamenu.com/?utm_source=gbp
Amici's Restaurant,pizza_restaurant,Bergen County,North Jersey,https://www.amicisdining.com/
ARTIE'S,pizza_restaurant,Essex County,North Jersey,http://www.artiesnj.com/
Brooklyn's Brick Oven Pizzeria,pizza_restaurant,Bergen County,North Jersey,http://brooklynspizza.net/
Calabria Pizzeria & Restaurant,italian_restaurant,Essex County,North Jersey,https://calabrianj.com/
Cambiotti's Tomato Pie Cafe,italian_restaurant,Morris County,North Jersey,http://cambiottis.com/
Delizia Pizza Kitchen (Ledgewood),pizza_restaurant,Morris County,North Jersey,http://deliziapizzakitchennj.com/
Dominick's Pizzeria,italian_restaurant,Sussex County,North Jersey,https://dominicksnj.com/
Mangiano Pizza Restaurant Catering & Private Events,pizza_restaurant,Morris County,North Jersey,http://www.mangianopizza.com/
Nicolosi's Pizza,meal_takeaway,Warren County,North Jersey,
Patsy's Tavern & Restaurant,pizza_restaurant,Passaic County,North Jersey,http://www.patsystavern.com/
Pizza Town USA,pizza_restaurant,Bergen County,North Jersey,https://pizzatownusa.kwickmenu.com/
PizzAmore Italian Kitchen,pizza_restaurant,Bergen County,North Jersey,https://www.orderitaliankitchenmenu.com/?utm_source=gbp
Ralph's Pizzeria,pizza_restaurant,Essex County,North Jersey,http://www.ralphspizzeria.com/
Razza,pizza_restaurant,Hudson County,North Jersey,http://razzanj.com/
Reservoir Tavern,restaurant,Morris County,North Jersey,http://www.therestavern.com/
Tenth Street Pasta & Pizza,pizza_restaurant,Hudson County,North Jersey,https://tenthstreetpizza.com/
Star Tavern,pizza_restaurant,Essex County,North Jersey,https://www.startavern.net/
Tony D's,pizza_restaurant,Essex County,North Jersey,http://www.tonydpizza.com/
Uncle Louie's,italian_restaurant,Bergen County,North Jersey,http://www.unclelouiesmontvale.com/
Dolce Pizzeria & Restaurant,pizza_restaurant,Middlesex County,Central Jersey,http://www.dolcefords.com/
Massa Roman Square Pizza & Italian Specialties,pizza_restaurant,Union County,Central Jersey,http://massaroman.com/
New World Pizza & Cafe,pizza_restaurant,Somerset County,Central Jersey,http://newworldpizza.com/
AMA Pizza,pizza_restaurant,Somerset County,Central Jersey,http://www.amapizza.com/
Capital Craft,bar,Somerset County,Central Jersey,https://capitalcraftnj.com/
DeLucia's Brick Oven Pizza,pizza_restaurant,Somerset County,Central Jersey,https://www.deluciasbrickovenpizza.com/
Ferraro's Pizzeria & Pub,pizza_restaurant,Middlesex County,Central Jersey,http://www.ferrarospizzeriapub.com/index.html
It's Nutts Restaurant,restaurant,Mercer County,Central Jersey,http://www.itsnuttsrestaurant.com/
Joe’s Famous Pizza,pizza_restaurant,Union County,Central Jersey,
Lisa Restaurant & Pizzeria,pizza_restaurant,Middlesex County,Central Jersey,http://www.lisapizzanj.com/
Manville Pizza,pizza_restaurant,Somerset County,Central Jersey,http://www.manvillepizzaest1969.com/
Maria's Pizza Milltown,pizza_restaurant,Middlesex County,Central Jersey,http://www.mariaspizzamilltown.com/
Nola’s Osteria and Pizza,pizza_restaurant,Union County,Central Jersey,http://nolasgarwood.com/
Prima Pizza Kitchen,pizza_restaurant,Somerset County,Central Jersey,http://primapizzamenu.com/
Santillo's Brick Oven Pizza,pizza_restaurant,Union County,Central Jersey,http://www.santillopizza.com/
Brick Oven Westfield,italian_restaurant,Union County,Central Jersey,http://www.thebrickovenwestfield.com/
Three Guys,italian_restaurant,Union County,Central Jersey,
Attilio's Pizzeria,pizza_restaurant,Middlesex County,Central Jersey,http://www.attiliosmatawan.com/
Black Cat Bar & Grill,bar_and_grill,Atlantic County,Jersey Shore,
Bruni's Pizzeria,pizza_restaurant,Atlantic County,Jersey Shore,https://www.facebook.com/brunispizza/?rf=108060532569736
Carluccio's Coal Fired Pizza,restaurant,Atlantic County,Jersey Shore,https://www.carluccioscoalfiredpizza.com/
Capricci Pizzeria & Restaurant,pizza_restaurant,Monmouth County,Jersey Shore,http://www.capriccipizza.com/
Denino's Pizza Place,pizza_restaurant,Monmouth County,Jersey Shore,https://www.deninospizzaplacenj.com/
East Bay Italian Grille and Bar,restaurant,Ocean County,Jersey Shore,http://eastbayitaliangrille.com/
Federici's Family Restaurant,pizza_restaurant,Monmouth County,Jersey Shore,http://www.federicis.com/
Maruca's Tomato Pies (Maruca’s Pizza),pizza_restaurant,Ocean County,Jersey Shore,https://www.marucaspizza.com/
Mimmo's Pizza,pizza_restaurant,Ocean County,Jersey Shore,http://mimmospizzanj.com/
Nunzio's Pizzeria,pizza_restaurant,Monmouth County,Jersey Shore,https://nunziospizzalb.com/
Pete & Elda's Bar / Carmen's Pizzeria,pizza_restaurant,Monmouth County,Jersey Shore,http://peteandeldas.com/
Roman`s Pizza House,pizza_restaurant,Cape May County,Jersey Shore,http://www.romanspizzacapemay.com/
Rosie's Pizza Point Pleasant Beach,pizza_restaurant,Ocean County,Jersey Shore,https://www.rosiesnj.com/
Schiano's Pizza,pizza_restaurant,Ocean County,Jersey Shore,http://www.schianospizzanj.com/
Talula's,pizza_restaurant,Monmouth County,Jersey Shore,https://talulaspizza.com/.
The Brothers Restaurant,italian_restaurant,Monmouth County,Jersey Shore,http://www.thebrothersrestaurant.net/
Vic's Italian Restaurant,italian_restaurant,Monmouth County,Jersey Shore,https://www.vicspizza.com/
Brooklyn Original Pizzeria,pizza_restaurant,Camden County,South Jersey,https://brooklynheightsoriginal.com/
Bricco Coal Fired Pizza,pizza_restaurant,Camden County,South Jersey,https://briccocoalfiredpizza.com/
Carollo's Family Restaurant & Pizzeria,pizza_restaurant,Gloucester County,South Jersey,http://www.carollos.com/
Eric's Restaurant,american_restaurant,Cumberland County,South Jersey,https://ericsrestaurantnj.com/
Gia Nina's Pizza,pizza_restaurant,Gloucester County,South Jersey,http://www.gianinas.com/
Grindstone,pizza_restaurant,Gloucester County,South Jersey,https://www.grindstonenj.com/
Holy Tomato,pizza_restaurant,Camden County,South Jersey,http://holytomatopies.com/
Joe's Pizza,pizza_restaurant,Salem County,South Jersey,http://www.joespizzashop.com/
Kate & Al's Pizza,pizza_restaurant,Burlington County,South Jersey,
Lillo's Tomato Pies,pizza_restaurant,Burlington County,South Jersey,https://www.makeitbutter.com/lillo-s-tomato-pies/main
"Milanese Pizza of Riverton, NJ",pizza_restaurant,Burlington County,South Jersey,https://www.milanesepizza.net/
Palermo's,italian_restaurant,Burlington County,South Jersey,http://www.palermostomatopie.com/
Peoples Pizza of Cherry Hill,pizza_restaurant,Camden County,South Jersey,http://www.peoplespizzacherryhill.com/
Riccardo's Pizza & Italian Restaurant,pizza_restaurant,Burlington County,South Jersey,https://riccardositalian.wixsite.com/njpizzarestaurant
Rosalia's Pizza,pizza_restaurant,Camden County,South Jersey,https://www.rosaliaspizza.com/
Sicilia Pizza,pizza_restaurant,Gloucester County,South Jersey,https://claytonsiciliapizza.com/?utm_source=google
Adam's Bagels Cafe & Deli - River Vale,bagel_shop,Bergen County,North Jersey,http://adamsbagelsdelicafe.com/
Alfa Bagels,bagel_shop,Morris County,North Jersey,
B&G Bagels and Catering of Ramsey,bagel_shop,Bergen County,North Jersey,http://www.bgbagels.com/
Bagel Loops,bagel_shop,Passaic County,North Jersey,https://m.facebook.com/Bagelloops
bagels by jarrett,bagel_shop,Essex County,North Jersey,http://www.bagelsbyjarrett.com/
Bagelwich Bagel Bakery & Deli,bagel_shop,Essex County,North Jersey,https://bagelwichnj.com/
Boonton Bagels and Gourmet Deli,bagel_shop,Morris County,North Jersey,http://www.boontonbagels.com/
Boxcar Bagel & Deli,bagel_shop,Bergen County,North Jersey,
Chester Bagel & Deli,bagel_shop,Morris County,North Jersey,http://www.chesterbagels.com/
Fresco's Bagels,bagel_shop,Morris County,North Jersey,http://frescosbagels.com/
Goldberg's Famous Bagels,breakfast_restaurant,Bergen County,North Jersey,https://onlineordering.rmpos.com/Order/(S(ftkujqu4atzn3kxkmpxejob5))/?wci=ICwOb91u
Hamburg Hot Bagels,bagel_shop,Sussex County,North Jersey,http://www.hamburgbagels.com/
The Original Hot Bagels Abroad,bagel_shop,Essex County,North Jersey,https://bagelsabroad.com/
International Hot Bagels,bagel_shop,Essex County,North Jersey,
Kc's Bagel Express,bagel_shop,Morris County,North Jersey,
Kinderkamack Hot Bagels,bagel_shop,Bergen County,North Jersey,
Lincoln Park Hot Bagels,bakery,Morris County,North Jersey,https://lincolnparkhotbagels.com/
Midland Park Bagels and Deli,bagel_shop,Bergen County,North Jersey,http://midlandparkbagels.com/
Muheisen's Bagel & Deli,bagel_shop,Warren County,North Jersey,https://m.facebook.com/pages/Muheisens-Bagel-Deli/145470115474073
O'Bagel,bagel_shop,Hudson County,North Jersey,http://obagel.net/
Plaza Bagels & Deli,bakery,Passaic County,North Jersey,http://plazabagelsnj.com/
River Road Hot Bagels,bagel_shop,Bergen County,North Jersey,https://riverroadhotbagels.com/
Sonny's Bagels,bagel_shop,Essex County,North Jersey,http://www.sonnysbagels.com/
The Bagel Shop,bagel_shop,Bergen County,North Jersey,https://www.thebagelshopnj.com/
Time For A Bagel,bagel_shop,Morris County,North Jersey,http://timeforabagel.com/
Wonder Bagels,bagel_shop,Hudson County,North Jersey,http://wonderbagels.com/
Bagel Barn & Deli,bagel_shop,Somerset County,Central Jersey,http://www.bagelbarndeli.com/
Bagel Chateau,bagel_shop,Union County,Central Jersey,http://www.bagelchateau.com/
Bagel Pantry,bagel_shop,Middlesex County,Central Jersey,https://bagelpantrynj.com/
Bagel Spot,bagel_shop,Union County,Central Jersey,
Bagel Street Grill,bagel_shop,Middlesex County,Central Jersey,https://www.toasttab.com/bagelstreetgrill
Bagels n' Cream,bagel_shop,Mercer County,Central Jersey,https://bagelsncreamnj.com/?utm_source=google
Kosher Bagels Supreme,bagel_shop,Union County,Central Jersey,https://www.kosherbagelssupreme.com/
CAESAR'S BAGELS & DELI,bagel_shop,Mercer County,Central Jersey,
Kettleman's Bagels - SOMERSET,bagel_shop,Somerset County,Central Jersey,https://www.kettlemansbagels.com/
Rahway Bagels,bagel_shop,Union County,Central Jersey,
Skolniks Bagel Bakery & Wellness Cafe,brunch_restaurant,Union County,Central Jersey,https://skolniksnj.com/
The Bagel Club,bagel_shop,Hunterdon County,Central Jersey,http://www.thebagelclubnj.com/contact.html
Udo's Bagels,bagel_shop,Mercer County,Central Jersey,https://m.facebook.com/UdosBagels/
Bagel Bazaar Deli and Grill,bagel_shop,Atlantic County,Jersey Shore,
Bagel Boyz,bagel_shop,Monmouth County,Jersey Shore,https://bagelboyznj.com/
Bagel Mania,bagel_shop,Middlesex County,Central Jersey,
Bagel Masters,bagel_shop,Monmouth County,Jersey Shore,http://bagelmasters.com/
Bagel Station SLH,bagel_shop,Monmouth County,Jersey Shore,
Bagel Time Cafe,bagel_shop,Cape May County,Jersey Shore,https://www.bageltimenj.com/
Bageleddi's,bagel_shop,Ocean County,Jersey Shore,http://www.bageleddis.com/
Baron's Bagels - Point Pleasant,bagel_shop,Ocean County,Jersey Shore,https://www.baronsbagels.com/
Broadway Giant Bagels,bagel_shop,Ocean County,Jersey Shore,http://broadwaygiantbagels.com/
Terrace Bagels & Cafe,bagel_shop,Monmouth County,Jersey Shore,http://www.terracebagels.com/
Terrigani's Bagels,bagel_shop,Ocean County,Jersey Shore,http://terriganisbagels.com/
The Bagel Spot,bagel_shop,Camden County,South Jersey,https://www.bagelspoteast.com/
Bagel University,bagel_shop,Cumberland County,South Jersey,http://www.bageluniversity.net/
Moore Bagels,bagel_shop,Burlington County,South Jersey,https://moorebagels.com/marlton/
Ry's Bagels,bagel_shop,Gloucester County,South Jersey,
Sharky's Bagels,bagel_shop,Camden County,South Jersey,https://www.facebook.com/profile.php?id=100057198230301&mibextid=LQQJ4d
Victoria's Bagel Bistro,bagel_shop,Burlington County,South Jersey,http://www.victoriasbagelbistro.com/
Westmont Bagel,bagel_shop,Camden County,South Jersey,http://www.westmontbagel.com/
